country,year,population,births,deaths,migration_rate,population_mid2035,population_mid2050,infant_mortality_rate,fertility_rate,population_age_less_than15,population_age_over65,,,,
Algeria,2022,44.9,22.0,5.0,0.0,52.0,60.0,19.0,3.0,31.0,6.0,,,,
Egypt,2022,103.5,21.0,7.0,1.0,123.0,145.0,16.0,3.0,34.0,4.0,,,,
Morocco,2022,36.7,17.0,5.0,-1.0,41.0,44.0,15.0,2.0,25.0,8.0,,,,
Sudan,2022,46.9,34.0,7.0,0.0,64.0,85.0,39.0,5.0,41.0,4.0,,,,
Tunisia,2022,11.8,16.0,8.0,-1.0,13.0,14.0,14.0,2.0,25.0,9.0,,,,
Western Sahara,2022,0.6,17.0,6.0,6.0,1.0,1.0,26.0,2.0,24.0,6.0,,,,
Benin,2022,13.4,36.0,9.0,0.0,19.0,25.0,54.0,5.0,42.0,3.0,,,,
Burkina Faso,2022,22.7,35.0,9.0,-1.0,31.0,41.0,47.0,5.0,44.0,3.0,,,,
Cabo Verde,2022,0.6,15.0,5.0,-2.0,1.0,1.0,11.0,2.0,26.0,6.0,,,,
Cöte d'Ivoire,2022,28.2,34.0,9.0,-1.0,38.0,51.0,57.0,4.0,41.0,2.0,,,,
Gambia,2022,2.7,33.0,8.0,-1.0,4.0,5.0,31.0,5.0,43.0,2.0,,,,
Ghana,2022,33.5,28.0,8.0,0.0,42.0,52.0,32.0,4.0,37.0,4.0,,,,
Guinea,2022,13.9,34.0,10.0,0.0,18.0,24.0,64.0,4.0,42.0,3.0,,,,
Guinea-Bissau,2022,2.1,31.0,9.0,-1.0,3.0,3.0,51.0,4.0,40.0,3.0,,,,
Liberia,2022,5.3,31.0,9.0,-2.0,7.0,9.0,58.0,4.0,41.0,3.0,,,,
Mali,2022,22.6,42.0,9.0,-1.0,33.0,47.0,55.0,6.0,47.0,2.0,,,,
Mauritania,2022,4.7,39.0,7.0,1.0,7.0,10.0,41.0,5.0,42.0,3.0,,,,
Niger,2022,26.2,45.0,8.0,0.0,42.0,67.0,40.0,7.0,49.0,2.0,,,,
Nigeria,2022,218.5,37.0,12.0,0.0,292.0,378.0,72.0,5.0,43.0,3.0,,,,
Senegal,2022,17.9,32.0,5.0,-1.0,24.0,31.0,33.0,4.0,41.0,3.0,,,,
Sierra Leone,2022,8.7,33.0,10.0,2.0,11.0,14.0,75.0,4.0,39.0,3.0,,,,
Togo,2022,8.8,32.0,8.0,0.0,12.0,16.0,44.0,4.0,40.0,3.0,,,,
